x	y	z	t	#
-53.8735	-215.713	196.515	18.16	10
-50.4492	-211.88	196.57	18.18	10
-46.5034	-207.637	198.781	18.2	10
-42.0957	-203.763	199.489	18.22	10
-37.1881	-200.131	198.416	18.24	10
-32.0652	-195.708	203.837	18.26	10
-26.9361	-191.223	211.637	18.28	10
-21.8642	-186.704	214.369	18.3	10
-16.8516	-181.828	218.541	18.32	10
-11.7645	-176.852	223.826	18.34	10
-6.479	-171.623	225.558	18.36	10
-0.81653	-166.25	225.744	18.38	10
5.26713	-161.18	224.267	18.4	10
11.7382	-156.593	225.636	18.42	10
18.5362	-152.361	229.722	18.44	10
25.4202	-148.326	231.769	18.46	10
32.2879	-144.458	231.35	18.48	10
39.5681	-141.499	229.738	18.5	10
47.6382	-140.257	228.416	18.52	10
56.2002	-140.873	227.252	18.54	10
64.9877	-143.275	226.803	18.56	10
73.6302	-146.851	226.181	18.58	10
81.7114	-150.627	231.244	18.6	10
89.1353	-153.934	242.525	18.62	10
96.0994	-156.792	246.795	18.64	10
102.899	-159.506	244.328	18.66	10
109.461	-162.297	246.249	18.68	10
115.802	-165.649	249.15	18.7	10
121.772	-169.065	246.995	18.72	10
127.131	-171.186	245.1	18.74	10
131.896	-171.584	243.66	18.76	10
136.061	-170.362	240.55	18.78	10
139.741	-167.803	239.31	18.8	10
143.07	-164.978	237.472	18.82	10
146.14	-162.871	234.291	18.84	10
148.987	-161.559	233.264	18.86	10
151.513	-160.486	234.375	18.88	10
153.737	-159.061	234.547	18.9	10
155.863	-156.871	234.871	18.92	10
157.971	-153.705	238.435	18.94	10
160.093	-149.741	237.957	18.96	10
162.424	-145.609	234.008	18.98	10
-170.619	-223.907	291.714	18.98	11
165.212	-142.702	233.983	19	10
-167.94	-226.088	285.788	19	11
168.686	-141.959	239.059	19.02	10
-165.648	-229.811	279.334	19.02	11
173.156	-143.126	244.08	19.04	10
-164.268	-234.925	277.629	19.04	11
178.404	-146.65	242.802	19.06	10
-163.33	-239.334	269.47	19.06	11
-162.262	-239.644	255.917	19.12	11
-161.271	-235.119	252.909	19.14	11
-160.093	-228.244	255.687	19.16	11
-158.06	-221.186	260.934	19.18	11
-154.244	-213.986	267.864	19.2	11
-145.993	-204.546	263.302	19.24	11
-136.767	-196.105	247.763	19.38	11
-134.504	-195.353	237.048	19.4	11
-137.276	-199.919	235.621	19.42	11
-140.157	-205.279	239.049	19.44	11
